Purl,Title,Source Id,Collection ID,Hydrus Collection,Object Type,Status,Reg. Date,Pub. Date,
"http://purl.stanford.edu/bb009sj6832","Database Designs for Structural Expert System","Hydrus:item-elenas55-2015-06-29T16:00:40.186Z","vd298zm5495","The Stanford Rock Fracture Project","item","v1 Accessioned","2015-06-29","2015-07-20",
"http://purl.stanford.edu/bb042tc6674","SAUTI","Hydrus:item-dhartwig-2013-03-18T23:34:43.989Z","tt774yj9847","SAUTI: Stanford Journal of African Studies","item","v2 Accessioned","2013-03-18","2014-04-03",
"http://purl.stanford.edu/bb060nk0241","A major human white-matter pathway between dorsal and ventral visual cortex","Hydrus:item-htakemur-2013-10-01T00:27:04.143Z","qd500xn1572","VISTA Lab","item","v4 Accessioned","2013-10-01","2015-02-19",
"http://purl.stanford.edu/bb098pm3271","Code Supplement for PhD Thesis "Topics in Matrix Inference"","Hydrus:item-gavish-2014-05-29T11:19:41.794Z","md919gh6774","Stanford Research Data","item","v1 Registered","2014-05-29","",
"http://purl.stanford.edu/bb317sb0380","Computer-supported collaborative video analysis","Hydrus:item-lauraw15-2014-04-16T19:37:54.810Z","tz959sb6952","Graduate School of Education Open Archive","item","v3 Accessioned","2014-04-16","2014-04-19",
"http://purl.stanford.edu/bb330dh0433","Memoirs","Hydrus:item-dhartwig-2013-12-14T01:44:08.114Z","mp560bw1717","Donald Leland Carpenter Memoirs","item","v1 Accessioned","2013-12-14","2013-12-14",
"http://purl.stanford.edu/bb371ws2695","Reliability of Tall columns Subjected to Nonstationary Vertical and Horizontal Ground Motions","Hydrus:item-rmetz-2013-09-12T19:32:51.465Z","mz198fp9366","John A. Blume Earthquake Engineering Center Technical Report Series","item","v2 Accessioned","2013-09-12","2014-01-31",
"http://purl.stanford.edu/bb383yy1645","Pneumatic Pneus Founding Chapter Newsletter, 2009, July/August Issue","Hydrus:item-jessie2-2015-06-17T17:17:24.667Z","tb053xc7429","Jack Edwards Pneumatic Pneus Collection","item","v1 Registered","2015-06-17","",
"http://purl.stanford.edu/bb390wn9224","Attacks & Accidents Policy to Protect the Power Grid's Critical Computing and Communication Needs","Hydrus:item-krisk11-2015-07-27T18:04:21.839Z","md903dt5665","Center for International Security and Cooperation (CISAC) Interschool Honors Program in International Security Studies","item","v1 Accessioned","2015-07-27","2015-07-27",
"http://purl.stanford.edu/bb466fn7951","APO for Visitations","Hydrus:adminPolicy-brg-2014-02-01T18:02:58.323Z","","","adminPolicy","v3 Accessioned","2014-02-01","2014-08-07",
